iter	Passed	Remaining
0	0	92
1	1	78
2	2	80
3	3	90
4	4	92
5	5	87
6	6	83
7	6	79
8	7	75
9	8	72
10	8	70
11	9	70
12	10	70
13	11	71
14	12	70
15	13	68
16	13	66
17	14	65
18	14	63
19	15	61
20	16	60
21	16	59
22	17	60
23	18	59
24	19	59
25	20	58
26	21	58
27	22	56
28	22	55
29	23	54
30	24	55
31	25	54
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	30	48
39	31	47
40	32	47
41	33	46
42	34	45
43	35	45
44	36	44
45	37	43
46	38	42
47	38	42
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	55	36
60	56	36
61	58	35
62	58	34
63	59	33
64	61	33
65	62	32
66	64	31
67	64	30
68	65	29
69	66	28
70	67	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	73	21
77	74	20
78	74	19
79	75	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	79	12
86	80	12
87	81	11
88	81	10
89	83	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	89	3
96	92	2
97	93	1
98	94	0
99	94	0
