iter	Passed	Remaining
0	0	815
1	1	815
2	2	870
3	3	866
4	4	821
5	5	851
6	5	827
7	6	804
8	7	791
9	7	787
10	8	790
11	9	802
12	11	846
13	12	889
14	13	878
15	14	873
16	14	860
17	16	884
18	17	897
19	18	882
20	18	871
21	19	869
22	20	884
23	21	872
24	22	860
25	22	858
26	23	859
27	24	854
28	25	845
29	25	834
30	26	825
31	26	816
32	27	807
33	28	799
34	28	791
35	29	784
36	29	774
37	31	809
38	32	808
39	33	801
40	33	794
41	34	789
42	35	783
43	35	778
44	36	772
45	36	767
46	38	772
47	38	773
48	39	768
49	40	764
50	40	758
51	41	754
52	42	750
53	42	745
54	43	740
55	43	737
56	44	734
57	45	738
58	46	735
59	46	732
60	47	729
61	48	726
62	48	723
63	49	722
64	49	718
65	50	715
66	51	713
67	51	710
68	52	710
69	53	708
70	54	706
71	54	705
72	55	702
73	55	700
74	56	697
75	57	695
76	57	692
77	58	690
78	59	690
79	59	689
80	60	688
81	61	686
82	61	684
83	62	681
84	63	678
85	63	676
86	64	674
87	64	671
88	65	669
89	65	666
90	66	665
91	67	664
92	68	663
93	68	661
94	69	659
95	69	657
96	70	654
97	70	652
98	71	649
99	71	646
100	73	653
101	73	651
102	74	649
103	75	650
104	76	650
105	76	648
106	77	645
107	77	643
108	78	640
109	78	637
110	79	635
111	79	632
112	80	630
113	80	627
114	81	625
115	81	622
116	82	620
117	82	617
118	83	615
119	83	611
120	83	609
121	84	607
122	84	605
123	85	604
124	86	603
125	86	602
126	87	601
127	88	600
128	88	599
129	89	599
130	91	604
131	92	607
132	92	606
133	93	604
134	94	603
135	94	602
136	95	600
137	95	598
138	96	596
139	96	595
140	97	593
141	97	591
142	98	589
143	98	587
144	100	589
145	100	588
146	101	588
147	102	587
148	102	585
149	103	583
150	103	582
151	104	581
152	104	580
153	105	579
154	106	578
155	106	576
156	107	574
157	107	573
158	108	571
159	108	569
160	108	567
161	109	565
162	109	563
163	110	562
164	110	560
165	111	558
166	111	557
167	112	556
168	113	558
169	114	557
170	114	555
171	115	553
172	115	552
173	116	550
174	116	549
175	116	547
176	117	545
177	117	543
178	118	541
179	118	540
180	119	539
181	119	538
182	120	535
183	120	534
184	120	532
185	121	531
186	121	529
187	122	528
188	122	527
189	123	525
190	123	524
191	124	522
192	124	521
193	125	519
194	125	518
195	126	518
196	127	519
197	128	518
198	128	518
199	129	518
200	130	517
201	130	516
202	131	518
203	132	517
204	133	516
205	133	515
206	134	514
207	134	513
208	135	512
209	135	511
210	136	510
211	137	509
212	137	509
213	138	508
214	139	507
215	139	506
216	140	506
217	140	505
218	141	504
219	142	504
220	142	503
221	143	502
222	144	502
223	144	501
224	145	500
225	145	499
226	146	498
227	146	497
228	148	499
229	150	502
230	151	504
231	152	503
232	152	502
233	153	501
234	153	500
235	154	500
236	155	499
237	155	498
238	156	498
239	157	497
240	157	496
241	158	495
242	158	494
243	159	493
244	159	492
245	160	490
246	160	489
247	161	488
248	161	487
249	161	485
250	162	484
251	163	484
252	163	483
253	164	483
254	165	482
255	165	481
256	166	479
257	166	478
258	166	477
259	167	477
260	168	476
261	168	475
262	169	474
263	169	473
264	170	471
265	170	471
266	171	471
267	172	470
268	172	469
269	173	467
270	173	466
271	173	465
272	174	464
273	174	463
274	175	462
275	175	461
276	176	460
277	176	459
278	177	458
279	177	457
280	178	456
281	178	455
282	179	454
283	180	454
284	180	453
285	181	452
286	181	451
287	182	450
288	182	449
289	183	448
290	183	447
291	184	446
292	184	445
293	185	445
294	185	444
295	186	443
296	186	442
297	187	441
298	187	440
299	188	439
300	188	438
301	189	437
302	189	436
303	190	436
304	190	435
305	191	434
306	191	433
307	192	432
308	192	431
309	193	430
310	193	429
311	194	428
312	194	427
313	195	427
314	195	426
315	196	425
316	196	424
317	197	423
318	197	422
319	198	421
320	199	420
321	199	420
322	199	419
323	200	418
324	201	418
325	201	417
326	202	416
327	202	415
328	203	414
329	203	413
330	204	412
331	204	411
332	205	410
333	205	409
334	206	409
335	206	408
336	207	407
337	207	406
338	208	406
339	208	405
340	209	404
341	209	403
342	210	403
343	210	402
344	211	401
345	211	400
346	212	399
347	212	399
348	213	398
349	213	397
350	214	396
351	215	395
352	215	395
353	216	394
354	216	393
355	217	392
356	217	392
357	218	391
358	218	390
359	219	389
360	219	388
361	220	388
362	220	387
363	221	386
364	221	385
365	222	385
366	222	384
367	223	383
368	224	383
369	224	382
370	225	381
371	225	380
372	226	380
373	226	379
374	227	378
375	227	377
376	227	376
377	228	375
378	228	375
379	229	374
380	229	373
381	230	372
382	230	371
383	231	371
384	231	370
385	232	369
386	232	368
387	233	367
388	233	366
389	234	366
390	234	365
391	234	364
392	235	363
393	235	362
394	236	362
395	237	361
396	237	360
397	238	360
398	238	359
399	239	358
400	239	357
401	240	357
402	240	356
403	240	355
404	241	354
405	241	353
406	242	353
407	242	352
408	243	351
409	243	350
410	244	350
411	244	349
412	245	348
413	245	348
414	246	347
415	246	346
416	247	345
417	247	345
418	248	344
419	248	343
420	249	342
421	249	341
422	250	341
423	250	340
424	251	340
425	251	339
426	252	338
427	252	337
428	253	337
429	253	336
430	254	335
431	254	335
432	255	334
433	255	333
434	256	332
435	256	331
436	257	331
437	257	330
438	258	329
439	258	329
440	258	328
441	259	327
442	259	326
443	260	326
444	260	325
445	261	324
446	261	323
447	262	323
448	262	322
449	263	321
450	263	321
451	264	320
452	265	320
453	265	319
454	266	318
455	266	318
456	267	317
457	267	316
458	268	315
459	268	315
460	269	314
461	269	313
462	269	313
463	270	312
464	270	311
465	271	310
466	271	310
467	272	309
468	272	308
469	273	308
470	273	307
471	274	306
472	274	305
473	275	305
474	275	304
475	276	303
476	276	303
477	276	302
478	277	301
479	277	301
480	278	300
481	278	299
482	279	299
483	280	298
484	280	297
485	280	297
486	281	296
487	281	295
488	282	295
489	283	294
490	283	293
491	283	293
492	284	292
493	284	291
494	285	291
495	285	290
496	286	289
497	286	289
498	287	288
499	287	287
500	288	286
501	288	286
502	289	285
503	289	284
504	289	284
505	290	283
506	290	282
507	291	282
508	291	281
509	292	280
510	292	280
511	293	279
512	293	279
513	294	278
514	294	277
515	295	277
516	295	276
517	296	275
518	296	275
519	297	274
520	297	273
521	298	273
522	298	272
523	299	271
524	299	271
525	300	270
526	300	269
527	301	269
528	301	268
529	302	267
530	302	267
531	303	266
532	303	265
533	304	265
534	304	264
535	305	264
536	305	263
537	306	263
538	307	262
539	307	262
540	308	261
541	308	261
542	309	260
543	309	259
544	310	259
545	310	258
546	311	257
547	311	257
548	312	256
549	312	255
550	313	255
551	314	254
552	314	254
553	315	253
554	315	253
555	316	252
556	316	251
557	316	251
558	317	250
559	317	249
560	318	249
561	318	248
562	319	247
563	319	247
564	320	246
565	321	246
566	321	245
567	322	245
568	322	244
569	323	243
570	323	243
571	324	242
572	324	241
573	325	241
574	325	240
575	326	240
576	326	239
577	327	238
578	327	238
579	328	237
580	328	236
581	328	236
582	329	235
583	329	235
584	330	234
585	330	233
586	331	233
587	331	232
588	332	231
589	332	231
590	333	230
591	333	229
592	334	229
593	334	228
594	335	228
595	335	227
596	336	227
597	336	226
598	337	225
599	337	225
600	338	224
601	338	223
602	339	223
603	339	222
604	340	222
605	340	221
606	341	220
607	341	220
608	342	219
609	342	218
610	343	218
611	343	217
612	344	217
613	344	216
614	345	216
615	345	215
616	345	214
617	346	214
618	346	213
619	347	212
620	347	212
621	348	211
622	349	211
623	349	210
624	350	210
625	350	209
626	351	208
627	351	208
628	352	207
629	352	207
630	353	206
631	353	205
632	354	205
633	354	204
634	354	204
635	355	203
636	355	202
637	356	202
638	356	201
639	357	200
640	357	200
641	358	199
642	358	199
643	359	198
644	359	197
645	360	197
646	360	196
647	361	196
648	361	195
649	362	195
650	363	194
651	363	194
652	364	193
653	364	192
654	365	192
655	365	191
656	366	191
657	366	190
658	367	189
659	367	189
660	368	188
661	368	188
662	369	187
663	369	186
664	369	186
665	370	185
666	370	185
667	371	184
668	371	183
669	372	183
670	372	182
671	373	182
672	373	181
673	374	181
674	374	180
675	375	179
676	375	179
677	376	178
678	376	178
679	377	177
680	377	177
681	378	176
682	378	175
683	379	175
684	379	174
685	380	174
686	380	173
687	381	172
688	381	172
689	382	171
690	382	171
691	383	170
692	383	169
693	384	169
694	384	168
695	385	168
696	385	167
697	386	167
698	386	166
699	386	165
700	387	165
701	388	164
702	388	164
703	389	163
704	389	163
705	390	162
706	390	161
707	391	161
708	391	160
709	392	160
710	392	159
711	392	158
712	393	158
713	393	157
714	394	157
715	394	156
716	395	156
717	396	155
718	396	154
719	397	154
720	397	153
721	397	153
722	398	152
723	398	152
724	399	151
725	399	150
726	400	150
727	400	149
728	401	149
729	401	148
730	402	148
731	403	147
732	403	147
733	404	146
734	404	145
735	405	145
736	405	144
737	406	144
738	406	143
739	407	143
740	407	142
741	407	141
742	408	141
743	408	140
744	409	140
745	409	139
746	410	139
747	410	138
748	411	137
749	412	137
750	412	136
751	413	136
752	413	135
753	414	135
754	414	134
755	415	134
756	415	133
757	416	132
758	416	132
759	417	131
760	418	131
761	418	130
762	419	130
763	419	129
764	420	129
765	420	128
766	421	127
767	421	127
768	422	126
769	422	126
770	423	125
771	423	125
772	424	124
773	424	123
774	425	123
775	425	122
776	426	122
777	426	121
778	427	121
779	427	120
780	428	120
781	428	119
782	428	118
783	429	118
784	429	117
785	430	117
786	431	116
787	431	116
788	432	115
789	433	115
790	433	114
791	434	114
792	434	113
793	435	112
794	435	112
795	436	111
796	436	111
797	437	110
798	437	110
799	438	109
800	438	108
801	439	108
802	439	107
803	440	107
804	440	106
805	441	106
806	441	105
807	442	105
808	442	104
809	443	103
810	443	103
811	443	102
812	444	102
813	445	101
814	445	101
815	446	100
816	446	100
817	447	99
818	448	99
819	448	98
820	449	97
821	449	97
822	449	96
823	450	96
824	450	95
825	451	95
826	451	94
827	452	93
828	452	93
829	453	92
830	453	92
831	454	91
832	454	91
833	455	90
834	455	90
835	456	89
836	456	88
837	457	88
838	457	87
839	458	87
840	459	86
841	459	86
842	460	85
843	460	85
844	461	84
845	461	84
846	462	83
847	462	82
848	463	82
849	463	81
850	464	81
851	464	80
852	465	80
853	465	79
854	466	79
855	466	78
856	467	77
857	467	77
858	468	76
859	468	76
860	469	75
861	469	75
862	470	74
863	470	74
864	471	73
865	472	73
866	472	72
867	473	71
868	473	71
869	474	70
870	474	70
871	474	69
872	475	69
873	475	68
874	476	68
875	476	67
876	477	66
877	477	66
878	478	65
879	478	65
880	479	64
881	479	64
882	480	63
883	480	63
884	481	62
885	481	61
886	482	61
887	482	60
888	482	60
889	483	59
890	483	59
891	484	58
892	484	58
893	485	57
894	486	57
895	486	56
896	487	55
897	487	55
898	488	54
899	488	54
900	489	53
901	489	53
902	490	52
903	490	52
904	490	51
905	491	50
